"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2012","388.05","370.29","389.71","361.66","202.57M","5.01%"
"11/01/2012","369.55","360.95","372.11","345.54","210.11M","2.41%"
"10/01/2012","360.87","369.04","376.20","354.18","209.33M","-2.04%"
"09/01/2012","368.40","364.55","387.25","357.76","216.54M","1.04%"
"08/01/2012","364.60","356.44","373.73","349.32","196.44M","2.41%"
"07/01/2012","356.01","358.84","362.54","339.88","247.95M","-0.75%"
"06/01/2012","358.71","347.54","364.79","329.82","265.77M","3.16%"
"05/01/2012","347.73","378.54","384.20","335.81","286.52M","-8.14%"
"04/01/2012","378.54","375.73","385.30","356.16","246.09M","0.68%"
"03/01/2012","376.00","368.47","382.74","354.46","255.88M","2.05%"
"02/01/2012","368.46","362.20","376.84","362.19","238.30M","1.92%"
"01/01/2012","361.52","325.68","364.84","325.68","274.31M","11.12%"
"12/01/2011","325.34","324.74","329.49","304.04","306.30M","-0.15%"
"11/01/2011","325.83","326.46","336.48","296.57","322.16M","-0.23%"
"10/01/2011","326.58","275.34","341.43","259.12","367.73M","18.32%"
"09/01/2011","276.02","331.51","334.17","275.96","415.98M","-16.74%"
"08/01/2011","331.50","361.87","367.77","295.84","538.53M","-8.30%"
"07/01/2011","361.49","373.88","386.58","356.35","294.16M","-3.31%"
"06/01/2011","373.87","375.28","375.28","344.73","413.07M","-0.53%"
"05/01/2011","375.85","388.47","391.78","358.45","345.78M","-3.24%"
"04/01/2011","388.44","368.17","388.93","359.08","248.27M","5.51%"
"03/01/2011","368.16","358.47","370.18","340.09","327.71M","2.70%"
"02/01/2011","358.47","344.25","367.20","342.50","277.79M","4.13%"
"01/01/2011","344.24","340.06","348.24","332.80","286.18M","1.25%"
"12/01/2010","339.99","318.07","341.12","318.07","257.56M","6.90%"
"11/01/2010","318.04","316.60","327.88","307.55","264.94M","0.48%"
"10/01/2010","316.52","297.36","322.74","294.69","277.21M","6.47%"
"09/01/2010","297.28","270.23","301.78","270.21","284.69M","10.05%"
"08/01/2010","270.12","276.36","283.84","258.35","331.54M","-2.25%"
"07/01/2010","276.34","241.25","279.10","236.29","355.66M","14.55%"
"06/01/2010","241.24","260.77","272.40","240.76","394.25M","-7.49%"
"05/01/2010","260.78","287.94","291.35","243.04","483.16M","-9.43%"
"04/01/2010","287.94","277.83","296.46","277.83","337.49M","3.63%"
"03/01/2010","277.85","259.47","283.06","259.15","380.26M","7.10%"
"02/01/2010","259.44","248.52","264.14","241.03","367.62M","4.39%"
"01/01/2010","248.52","258.83","273.90","248.46","313.73M","-3.97%"
